Text,Sentiment,Text_Clean,Text_Stemmed,Text_Lemmatized
" Anxiety grips my heart, worry clouds my thoughts.  ", Anxiety         ,anxiety grips heart worry clouds thoughts,anxieti grip heart worri cloud thought,anxiety grip heart worry cloud thought
 Intimidation by the unknown future ahead.          , Intimidation    ,intimidation unknown future ahead,intimid unknown futur ahead,intimidation unknown future ahead
 Helplessness sinks in as challenges pile up.       , Helplessness    ,helplessness sinks challenges pile,helpless sink challeng pile,helplessness sink challenge pile
 Envy eats away at me as I see others' prosperity.  , Envy            ,envy eats away see others prosperity,envi eat away see other prosper,envy eat away see others prosperity
 Regret over missed opportunities haunts my thoughts., Regret         ,regret missed opportunities haunts thoughts,regret miss opportun haunt thought,regret miss opportunity haunt thought
 Disgust at the sight of injustice and cruelty.     , Disgust         ,disgust sight injustice cruelty,disgust sight injustic cruelti,disgust sight injustice cruelty
" Drowning in despair, hope slipping through my fingers.", Despair      ,drowning despair hope slipping fingers,drown despair hope slip finger,drown despair hope slip finger
" Grief weighs heavy, tears a constant companion.    ", Grief           ,grief weighs heavy tears constant companion,grief weigh heavi tear constant companion,grief weigh heavy tear constant companion
" Loneliness in a crowded room, a silent cry for connection.", Loneliness ,loneliness crowded room silent cry connection,loneli crowd room silent cri connect,loneliness crowd room silent cry connection
" Jealousy gnaws at my confidence, a toxic emotion.  ", Jealousy        ,jealousy gnaws confidence toxic emotion,jealousi gnaw confid toxic emot,jealousy gnaws confidence toxic emotion
" Resentment festers, poisoning relationships.       ", Resentment      ,resentment festers poisoning relationships,resent fester poison relationship,resentment fester poison relationship
" Frustration boils over, a volcanic eruption of emotions.", Frustration ,frustration boils volcanic eruption emotions,frustrat boil volcan erupt emot,frustration boil volcanic eruption emotion
" Boredom settles like dust, life feels mundane.     ", Boredom         ,boredom settles like dust life feels mundane,boredom settl like dust life feel mundan,boredom settle like dust life feel mundane
" Anxiety grips my chest, a relentless grip on my thoughts.", Anxiety   ,anxiety grips chest relentless grip thoughts,anxieti grip chest relentless grip thought,anxiety grip chest relentless grip thought
" Intimidation by the challenges ahead, fear takes hold.", Intimidation ,intimidation challenges ahead fear takes hold,intimid challeng ahead fear take hold,intimidation challenge ahead fear take hold
" Helplessness engulfs me, drowning in a sea of problems.", Helplessness ,helplessness engulfs drowning sea problems,helpless engulf drown sea problem,helplessness engulfs drown sea problem
" Envy poisons my thoughts, coveting others' success.", Envy            ,envy poisons thoughts coveting others success,envi poison thought covet other success,envy poison thought covet others success
 Regret for decisions that led to a painful present., Regret         ,regret decisions led painful present,regret decis led pain present,regret decision lead painful present
 Disgust at the corruption that stains society.     , Disgust         ,disgust corruption stains society,disgust corrupt stain societi,disgust corruption stain society
" Sinking in despair, each day darker than the last. ", Despair         ,sinking despair day darker last,sink despair day darker last,sink despair day darker last
" Grief overwhelms, a storm of emotions within.      ", Grief           ,grief overwhelms storm emotions within,grief overwhelm storm emot within,grief overwhelms storm emotion within
" Loneliness echoes in empty spaces, yearning for connection.", Loneliness ,loneliness echoes empty spaces yearning connection,loneli echo empti space yearn connect,loneliness echo empty space yearn connection
" Jealousy poisons my thoughts, resentment brewing within.", Jealousy    ,jealousy poisons thoughts resentment brewing within,jealousi poison thought resent brew within,jealousy poison thought resentment brewing within
" Resentment festers, a wound that refuses to heal.  ", Resentment      ,resentment festers wound refuses heal,resent fester wound refus heal,resentment fester wind refuse heal
" Frustration escalates, a thunderstorm of emotions. ", Frustration     ,frustration escalates thunderstorm emotions,frustrat escal thunderstorm emot,frustration escalate thunderstorm emotion
" Boredom lingers, a stagnant pool of indifference.  ", Boredom         ,boredom lingers stagnant pool indifference,boredom linger stagnant pool indiffer,boredom lingers stagnant pool indifference
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ", Curiosity       ,embarking journey discovery fueled curiosity thirst knowledge,embark journey discoveri fuel curios thirst knowledg,embark journey discovery fuel curiosity thirst knowledge
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ", Indifference    ,lost vast sea information indifferent wave digital ocean,lost vast sea inform indiffer wave digit ocean,lose vast sea information indifferent wave digital ocean
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ", Confusion       ,complex puzzle life leaves state perpetual confusion seeking answers chaos,complex puzzl life leav state perpetu confus seek answer chao,complex puzzle life leave state perpetual confusion seek answer chaos
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ", Numbness        ,numbness settles shield overwhelming emotions life throws way,numb settl shield overwhelm emot life throw way,numbness settle shield overwhelming emotion life throw way
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ", Melancholy      ,gazing sunset melancholic longing moments slip fingers time,gaze sunset melanchol long moment slip finger time,gaze sunset melancholic longing moment slip finger time
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ", Nostalgia       ,revisiting old photographs caught embrace nostalgia bittersweet symphony,revisit old photograph caught embrac nostalgia bittersweet symphoni,revisit old photograph catch embrace nostalgia bittersweet symphony
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ", Ambivalence     ,torn conflicting emotions ambivalence paints decisions shades uncertainty,torn conflict emot ambival paint decis shade uncertainti,torn conflict emotion ambivalence paint decision shade uncertainty
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ", Acceptance      ,embracing ebb flow life finding acceptance dance existence,embrac ebb flow life find accept danc exist,embrace ebb flow life find acceptance dance existence
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ", Determination   ,facing challenges head determination fuels fire within achieve impossible,face challeng head determin fuel fire within achiev imposs,face challenge head determination fuel fire within achieve impossible
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ", Serenity        ,serenity found stillness nature tranquil retreat chaos modern world,seren found still natur tranquil retreat chao modern world,serenity find stillness nature tranquil retreat chaos modern world
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ", Curiosity       ,curiosity leading rabbit hole knowledge perpetual student life classroom,curios lead rabbit hole knowledg perpetu student life classroom,curiosity lead rabbit hole knowledge perpetual student life classroom
" Floating through the day with an air of indifference, detached from the mundane happenings around. ", Indifference    ,floating day air indifference detached mundane happenings around,float day air indiffer detach mundan happen around,float day air indifference detach mundane happening around
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ", Confusion       ,entangled web thoughts confusion reigning navigate labyrinth ideas,entangl web thought confus reign navig labyrinth idea,entangle web thought confusion reign navigate labyrinth idea
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ", Numbness        ,numb chaos emotions locked away stoic facade concealing inner turmoil,numb chao emot lock away stoic facad conceal inner turmoil,numb chaos emotion lock away stoic facade conceal inner turmoil
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ", Melancholy      ,melancholy whispers breeze silent conversation echoes forgotten dreams,melancholi whisper breez silent convers echo forgotten dream,melancholy whisper breeze silent conversation echo forgotten dream
